Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH002102,PET002102,CL000131,2026-02-28,158.15,Cancelled,Retentions,RET026,DH001,Cancellation Before Premium Due,Agent Forgot,Yes,No Action
DH002103,PET002103,CL000187,2026-02-28,33.89,Cancelled,Retentions,RET025,DH002,Death of Pet,Refund Mailbox Delay,Yes,Actioned
DH002104,PET002104,CL000069,2026-02-28,16.62,Void,Retentions,RET007,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH002105,PET002105,CL000120,2026-02-28,46.59,Cancelled,Complaints,CMP003,DH002,Cancellation Before Premium Due,Refund Mailbox Delay,No,No Action
DH002106,PET002106,CL000002,2026-02-28,47.02,Cancelled,Customer Service,CS012,DH001,Death of Pet,Agent Forgot,No,Actioned
DH002107,PET002107,CL000088,2026-02-28,2.26,Void,Retentions,RET011,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH002108,PET002108,CL000176,2026-02-28,84.23,Void,Customer Service,CS020,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH002109,PET002109,CL000169,2026-02-28,11.18,Void,Retentions,RET012,DH001,Cancellation from Renewal (Void),Waiting for Information,Yes,Actioned
DH002110,PET002110,CL000173,2026-02-28,17.34,Cancelled,Retentions,RET002,DH002,Death of Pet,Agent Forgot,No,Actioned
DH002111,PET002111,CL000088,2026-02-28,151.92,Cancelled,Complaints,CMP005,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,Yes,No Action
DH002112,PET002112,CL000078,2026-02-28,24.31,Void,Retentions,RET015,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH002113,PET002113,CL000028,2026-02-28,18.0,Cancelled,Complaints,CMP002,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH002114,PET002114,CL000185,2026-02-28,87.36,Cancelled,Retentions,RET004,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH002115,PET002115,CL000168,2026-02-28,16.4,Void,Complaints,CMP004,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH002116,PET002116,CL000159,2026-02-28,47.99,Cancelled,Retentions,RET011,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH002117,PET002117,CL000033,2026-02-28,240.78,Cancelled,Claims,CLM003,DH001,Death of Pet,Waiting for Information,No,Actioned
DH002118,PET002118,CL000010,2026-02-28,23.77,Cancelled,Customer Service,CS021,DH001,Death of Pet,Waiting for Information,No,Actioned
DH002119,PET002119,CL000174,2026-02-28,2.17,Void,Retentions,RET009,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH002120,PET002120,CL000017,2026-02-28,3.65,Cancelled,Customer Service,CS021,DH002,Death of Pet,Waiting for Information,Yes,Actioned
DH002121,PET002121,CL000112,2026-02-28,68.63,Cancelled,Retentions,RET002,DH001,Cancellation Before Premium Due,Agent Forgot,No,No Action
DH002122,PET002122,CL000028,2026-02-28,26.33,Cancelled,Retentions,RET022,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH002123,PET002123,CL000017,2026-02-28,142.73,Cancelled,Retentions,RET022,DH001,Cancellation Before Premium Due,Waiting for Information,No,No Action
DH002124,PET002124,CL000040,2026-02-28,33.75,Cancelled,Retentions,RET011,DH002,Death of Pet,Waiting for Information,Yes,Actioned
DH002125,PET002125,CL000036,2026-02-28,37.3,Cancelled,Retentions,RET028,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH002126,PET002126,CL000046,2026-02-28,7.87,Void,Retentions,RET016,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH002127,PET002127,CL000015,2026-02-28,22.66,Cancelled,Retentions,RET021,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH002128,PET002128,CL000177,2026-02-28,23.93,Cancelled,Customer Service,CS024,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH002129,PET002129,CL000141,2026-02-28,72.33,Cancelled,Retentions,RET008,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH002130,PET002130,CL000061,2026-02-28,31.88,Cancelled,Retentions,RET018,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH002131,PET002131,CL000032,2026-02-28,81.86,Cancelled,Retentions,RET019,DH001,Cancellation Before Premium Due,Waiting for Information,No,No Action
DH002132,PET002132,CL000154,2026-02-28,7.62,Cancelled,Retentions,RET016,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH002133,PET002133,CL000184,2026-02-28,0.98,Cancelled,Retentions,RET008,DH002,Cancellation Before Premium Due,Waiting for Information,Yes,No Action
DH002134,PET002134,CL000137,2026-02-28,66.04,Void,Customer Service,CS003,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH002135,PET002135,CL000165,2026-02-28,20.39,Void,Retentions,RET013,DH002,Death of Pet,Agent Forgot,No,Actioned
DH002136,PET002136,CL000061,2026-02-28,39.38,Cancelled,Customer Service,CS022,DH002,Cancellation Before Premium Due,Waiting for Information,Yes,Actioned
DH002137,PET002137,CL000028,2026-02-28,4.32,Void,Claims,CLM008,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
