Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH001736,PET001736,CL000047,2025-12-31,77.36,Void,Customer Service,CS012,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001737,PET001737,CL000076,2025-12-31,40.72,Cancelled,Retentions,RET027,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH001738,PET001738,CL000142,2025-12-31,28.24,Cancelled,Retentions,RET015,DH002,Death of Pet,Payment Date Misunderstood,No,No Action
DH001739,PET001739,CL000094,2025-12-31,96.98,Void,Retentions,RET002,DH001,Cancellation from Renewal (Void),Refund Mailbox Delay,No,Actioned
DH001740,PET001740,CL000002,2025-12-31,10.4,Void,Complaints,CMP005,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,No Action
DH001741,PET001741,CL000178,2025-12-31,5.61,Cancelled,Customer Service,CS010,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH001742,PET001742,CL000020,2025-12-31,65.83,Cancelled,Retentions,RET003,DH002,Death of Pet,Waiting for Information,No,Actioned
DH001743,PET001743,CL000075,2025-12-31,41.77,Cancelled,Customer Service,CS011,DH001,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH001744,PET001744,CL000195,2025-12-31,29.95,Void,Customer Service,CS019,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH001745,PET001745,CL000083,2025-12-31,95.72,Cancelled,Retentions,RET015,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001746,PET001746,CL000130,2025-12-31,3.94,Void,Customer Service,CS025,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001747,PET001747,CL000195,2025-12-31,99.54,Cancelled,Retentions,RET015,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH001748,PET001748,CL000129,2025-12-31,24.47,Void,Customer Service,CS016,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001749,PET001749,CL000059,2025-12-31,41.05,Cancelled,Retentions,RET003,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH001750,PET001750,CL000145,2025-12-31,20.39,Void,Customer Service,CS013,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH001751,PET001751,CL000012,2025-12-31,27.15,Cancelled,Claims,CLM004,DH001,Death of Pet,Refund Mailbox Delay,Yes,Actioned
DH001752,PET001752,CL000187,2025-12-31,46.83,Void,Retentions,RET005,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH001753,PET001753,CL000014,2025-12-31,36.88,Cancelled,Claims,CLM009,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,Yes,Actioned
DH001754,PET001754,CL000095,2025-12-31,62.99,Cancelled,Customer Service,CS020,DH001,Death of Pet,Waiting for Information,No,Actioned
DH001755,PET001755,CL000116,2025-12-31,20.3,Void,Customer Service,CS011,DH002,Death of Pet,Agent Forgot,No,Actioned
DH001756,PET001756,CL000087,2025-12-31,16.36,Void,Customer Service,CS001,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH001757,PET001757,CL000054,2025-12-31,87.48,Cancelled,Retentions,RET023,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH001758,PET001758,CL000119,2025-12-31,82.57,Void,Complaints,CMP001,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001759,PET001759,CL000074,2025-12-31,32.1,Void,Retentions,RET012,DH001,Cancellation from Renewal (Void),Refund Mailbox Delay,No,Actioned
DH001760,PET001760,CL000150,2025-12-31,58.97,Void,Retentions,RET019,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001761,PET001761,CL000020,2025-12-31,5.69,Void,Customer Service,CS025,DH001,Cancellation from Renewal (Void),Waiting for Information,Yes,No Action
DH001762,PET001762,CL000115,2025-12-31,51.98,Cancelled,Retentions,RET019,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH001763,PET001763,CL000148,2025-12-31,14.53,Cancelled,Retentions,RET009,DH002,Death of Pet,Agent Forgot,No,No Action
DH001764,PET001764,CL000009,2025-12-31,87.81,Cancelled,Claims,CLM010,DH002,Death of Pet,Waiting for Information,Yes,Actioned
DH001765,PET001765,CL000041,2025-12-31,198.66,Cancelled,Claims,CLM002,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001766,PET001766,CL000016,2025-12-31,4.59,Void,Retentions,RET006,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,No Action
DH001767,PET001767,CL000151,2025-12-31,34.94,Cancelled,Retentions,RET015,DH001,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH001768,PET001768,CL000094,2025-12-31,92.33,Cancelled,Retentions,RET023,DH001,Cancellation Before Premium Due,Refund Mailbox Delay,Yes,Actioned
DH001769,PET001769,CL000048,2025-12-31,95.21,Cancelled,Complaints,CMP002,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH001770,PET001770,CL000041,2025-12-31,17.71,Void,Retentions,RET012,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH001771,PET001771,CL000016,2025-12-31,8.9,Cancelled,Retentions,RET023,DH001,Death of Pet,Agent Forgot,No,Actioned
DH001772,PET001772,CL000178,2025-12-31,81.19,Cancelled,Retentions,RET029,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH001773,PET001773,CL000138,2025-12-31,5.86,Void,Complaints,CMP002,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001774,PET001774,CL000149,2025-12-31,7.91,Void,Retentions,RET030,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH001775,PET001775,CL000051,2025-12-31,4.87,Cancelled,Retentions,RET003,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
DH001776,PET001776,CL000115,2025-12-31,49.44,Cancelled,Retentions,RET003,DH001,Death of Pet,Waiting for Information,Yes,Actioned
DH001777,PET001777,CL000071,2025-12-31,16.05,Void,Customer Service,CS013,DH002,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH001778,PET001778,CL000031,2025-12-31,40.66,Cancelled,Retentions,RET024,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001779,PET001779,CL000091,2025-12-31,93.0,Cancelled,Retentions,RET024,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001780,PET001780,CL000114,2025-12-31,33.66,Void,Retentions,RET020,DH001,Death of Pet,Refund Mailbox Delay,Yes,Actioned
DH001781,PET001781,CL000140,2025-12-31,42.75,Cancelled,Customer Service,CS023,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH001782,PET001782,CL000139,2025-12-31,11.67,Cancelled,Customer Service,CS007,DH001,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH001783,PET001783,CL000025,2025-12-31,34.7,Void,Customer Service,CS022,DH002,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH001784,PET001784,CL000129,2025-12-31,67.97,Cancelled,Customer Service,CS006,DH002,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH001785,PET001785,CL000045,2025-12-31,5.33,Cancelled,Customer Service,CS006,DH002,Death of Pet,Waiting for Information,No,Actioned
DH001786,PET001786,CL000021,2025-12-31,69.6,Cancelled,Retentions,RET028,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001787,PET001787,CL000163,2025-12-31,40.28,Void,Customer Service,CS018,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
