Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH000975,PET000975,CL000112,2025-07-31,37.56,Cancelled,Retentions,RET013,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000976,PET000976,CL000107,2025-07-31,63.75,Void,Customer Service,CS004,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000977,PET000977,CL000156,2025-07-31,79.4,Void,Retentions,RET013,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000978,PET000978,CL000114,2025-07-31,44.18,Cancelled,Retentions,RET013,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH000979,PET000979,CL000089,2025-07-31,7.61,Cancelled,Customer Service,CS015,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000980,PET000980,CL000196,2025-07-31,9.75,Void,Customer Service,CS008,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,No Action
DH000981,PET000981,CL000025,2025-07-31,18.46,Cancelled,Claims,CLM007,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000982,PET000982,CL000162,2025-07-31,8.91,Cancelled,Customer Service,CS011,DH002,Death of Pet,Waiting for Information,Yes,Actioned
DH000983,PET000983,CL000041,2025-07-31,135.53,Cancelled,Retentions,RET015,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000984,PET000984,CL000108,2025-07-31,35.46,Cancelled,Retentions,RET020,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000985,PET000985,CL000064,2025-07-31,35.02,Cancelled,Complaints,CMP001,DH002,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000986,PET000986,CL000095,2025-07-31,61.97,Cancelled,Retentions,RET005,DH002,Death of Pet,Agent Forgot,No,Actioned
DH000987,PET000987,CL000114,2025-07-31,259.35,Void,Customer Service,CS004,DH002,Cancellation from Renewal (Void),Refund Mailbox Delay,Yes,No Action
DH000988,PET000988,CL000018,2025-07-31,0.81,Cancelled,Claims,CLM008,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000989,PET000989,CL000199,2025-07-31,99.46,Cancelled,Customer Service,CS024,DH001,Death of Pet,Waiting for Information,No,Actioned
DH000990,PET000990,CL000184,2025-07-31,225.86,Cancelled,Retentions,RET028,DH002,Cancellation Before Premium Due,Agent Forgot,No,No Action
DH000991,PET000991,CL000094,2025-07-31,23.6,Cancelled,Claims,CLM004,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000992,PET000992,CL000063,2025-07-31,67.13,Cancelled,Retentions,RET015,DH002,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH000993,PET000993,CL000074,2025-07-31,8.86,Cancelled,Customer Service,CS010,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000994,PET000994,CL000040,2025-07-31,84.76,Cancelled,Retentions,RET021,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000995,PET000995,CL000185,2025-07-31,44.81,Cancelled,Claims,CLM006,DH001,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH000996,PET000996,CL000125,2025-07-31,93.54,Cancelled,Retentions,RET022,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000997,PET000997,CL000031,2025-07-31,67.83,Cancelled,Claims,CLM009,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,Yes,Actioned
DH000998,PET000998,CL000085,2025-07-31,20.87,Void,Claims,CLM009,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000999,PET000999,CL000066,2025-07-31,59.14,Void,Claims,CLM004,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001000,PET001000,CL000188,2025-07-31,53.19,Cancelled,Customer Service,CS002,DH001,Death of Pet,Agent Forgot,No,Actioned
DH001001,PET001001,CL000014,2025-07-31,35.36,Cancelled,Retentions,RET007,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001002,PET001002,CL000029,2025-07-31,72.14,Void,Customer Service,CS021,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH001003,PET001003,CL000162,2025-07-31,30.3,Cancelled,Retentions,RET028,DH001,Death of Pet,Agent Forgot,No,Actioned
DH001004,PET001004,CL000194,2025-07-31,197.52,Cancelled,Customer Service,CS006,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001005,PET001005,CL000164,2025-07-31,91.13,Cancelled,Retentions,RET010,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001006,PET001006,CL000147,2025-07-31,66.2,Cancelled,Retentions,RET006,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001007,PET001007,CL000186,2025-07-31,47.31,Cancelled,Retentions,RET005,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH001008,PET001008,CL000101,2025-07-31,50.29,Cancelled,Retentions,RET014,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH001009,PET001009,CL000181,2025-07-31,36.49,Cancelled,Retentions,RET014,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001010,PET001010,CL000071,2025-07-31,2.81,Cancelled,Customer Service,CS016,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH001011,PET001011,CL000064,2025-07-31,34.27,Cancelled,Customer Service,CS009,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001012,PET001012,CL000199,2025-07-31,91.22,Cancelled,Customer Service,CS019,DH001,Cancellation Before Premium Due,Agent Forgot,Yes,Actioned
DH001013,PET001013,CL000170,2025-07-31,31.25,Void,Customer Service,CS003,DH002,Cancellation from Renewal (Void),Agent Forgot,No,No Action
DH001014,PET001014,CL000055,2025-07-31,28.74,Void,Customer Service,CS023,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001015,PET001015,CL000102,2025-07-31,89.91,Cancelled,Retentions,RET017,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001016,PET001016,CL000138,2025-07-31,33.0,Void,Customer Service,CS019,DH001,Cancellation from Renewal (Void),Waiting for Information,No,No Action
DH001017,PET001017,CL000023,2025-07-31,28.74,Void,Retentions,RET003,DH002,Cancellation from Renewal (Void),Agent Forgot,No,Raised
DH001018,PET001018,CL000039,2025-07-31,53.66,Void,Retentions,RET017,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH001019,PET001019,CL000100,2025-07-31,2.64,Cancelled,Retentions,RET022,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001020,PET001020,CL000184,2025-07-31,57.64,Cancelled,Retentions,RET006,DH001,Death of Pet,Waiting for Information,No,Actioned
DH001021,PET001021,CL000018,2025-07-31,22.62,Void,Retentions,RET014,DH002,Death of Pet,Waiting for Information,Yes,Actioned
DH001022,PET001022,CL000113,2025-07-31,9.51,Cancelled,Claims,CLM004,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001023,PET001023,CL000032,2025-07-31,2.16,Cancelled,Customer Service,CS004,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH001024,PET001024,CL000192,2025-07-31,183.03,Void,Customer Service,CS016,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH001025,PET001025,CL000026,2025-07-31,47.83,Void,Customer Service,CS021,DH002,Death of Pet,Agent Forgot,No,Actioned
DH001026,PET001026,CL000005,2025-07-31,154.95,Cancelled,Retentions,RET005,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH001027,PET001027,CL000010,2025-07-31,8.12,Void,Customer Service,CS012,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH001028,PET001028,CL000039,2025-07-31,90.52,Cancelled,Retentions,RET006,DH001,Death of Pet,Agent Forgot,No,Actioned
DH001029,PET001029,CL000083,2025-07-31,0.75,Cancelled,Customer Service,CS005,DH002,Death of Pet,Agent Forgot,No,Actioned
DH001030,PET001030,CL000004,2025-07-31,18.92,Void,Complaints,CMP004,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
