Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH002281,PET002281,CL000100,2026-03-31,0.52,Cancelled,Claims,CLM008,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH002282,PET002282,CL000028,2026-03-31,147.46,Cancelled,Customer Service,CS001,DH002,Death of Pet,Waiting for Information,No,Actioned
DH002283,PET002283,CL000025,2026-03-31,11.68,Cancelled,Retentions,RET002,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH002284,PET002284,CL000172,2026-03-31,43.8,Cancelled,Claims,CLM005,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH002285,PET002285,CL000176,2026-03-31,80.47,Void,Retentions,RET026,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH002286,PET002286,CL000059,2026-03-31,23.46,Cancelled,Retentions,RET020,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,Yes,No Action
DH002287,PET002287,CL000144,2026-03-31,17.52,Void,Retentions,RET013,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,No Action
DH002288,PET002288,CL000064,2026-03-31,2.87,Void,Customer Service,CS025,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH002289,PET002289,CL000109,2026-03-31,47.17,Void,Customer Service,CS009,DH001,Death of Pet,Agent Forgot,Yes,Raised
DH002290,PET002290,CL000140,2026-03-31,30.14,Cancelled,Customer Service,CS003,DH001,Death of Pet,Waiting for Information,No,Actioned
DH002291,PET002291,CL000080,2026-03-31,20.16,Void,Customer Service,CS023,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH002292,PET002292,CL000196,2026-03-31,9.15,Cancelled,Retentions,RET017,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH002293,PET002293,CL000155,2026-03-31,29.72,Cancelled,Customer Service,CS007,DH001,Death of Pet,Refund Mailbox Delay,No,Actioned
