Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH000645,PET000645,CL000115,2025-05-31,13.43,Cancelled,Retentions,RET028,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000646,PET000646,CL000157,2025-05-31,53.3,Cancelled,Customer Service,CS010,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000647,PET000647,CL000160,2025-05-31,4.15,Void,Claims,CLM010,DH001,Death of Pet,Agent Forgot,No,Actioned
DH000648,PET000648,CL000050,2025-05-31,0.62,Cancelled,Customer Service,CS007,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000649,PET000649,CL000114,2025-05-31,15.52,Void,Customer Service,CS017,DH002,Death of Pet,Agent Forgot,Yes,Actioned
DH000650,PET000650,CL000088,2025-05-31,48.81,Cancelled,Retentions,RET008,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000651,PET000651,CL000088,2025-05-31,29.03,Void,Customer Service,CS023,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH000652,PET000652,CL000085,2025-05-31,28.18,Cancelled,Retentions,RET008,DH001,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH000653,PET000653,CL000124,2025-05-31,97.63,Cancelled,Retentions,RET006,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000654,PET000654,CL000050,2025-05-31,95.64,Cancelled,Retentions,RET010,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000655,PET000655,CL000051,2025-05-31,8.51,Void,Retentions,RET022,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000656,PET000656,CL000062,2025-05-31,24.9,Void,Claims,CLM010,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,No Action
DH000657,PET000657,CL000049,2025-05-31,25.13,Cancelled,Complaints,CMP002,DH001,Cancellation Before Premium Due,Agent Forgot,No,Actioned
DH000658,PET000658,CL000039,2025-05-31,12.14,Cancelled,Claims,CLM009,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000659,PET000659,CL000131,2025-05-31,45.3,Void,Retentions,RET017,DH002,Death of Pet,Payment Date Misunderstood,No,No Action
DH000660,PET000660,CL000122,2025-05-31,26.04,Cancelled,Customer Service,CS002,DH001,Death of Pet,Waiting for Information,No,Actioned
DH000661,PET000661,CL000097,2025-05-31,47.42,Cancelled,Retentions,RET003,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000662,PET000662,CL000110,2025-05-31,27.31,Cancelled,Retentions,RET001,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000663,PET000663,CL000129,2025-05-31,35.75,Cancelled,Claims,CLM002,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000664,PET000664,CL000078,2025-05-31,88.43,Void,Retentions,RET020,DH001,Cancellation from Renewal (Void),Agent Forgot,No,No Action
DH000665,PET000665,CL000003,2025-05-31,64.1,Cancelled,Complaints,CMP005,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH000666,PET000666,CL000059,2025-05-31,60.5,Cancelled,Customer Service,CS015,DH002,Death of Pet,Waiting for Information,No,Actioned
DH000667,PET000667,CL000107,2025-05-31,28.0,Void,Retentions,RET019,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000668,PET000668,CL000058,2025-05-31,37.43,Cancelled,Customer Service,CS011,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Raised
DH000669,PET000669,CL000085,2025-05-31,41.97,Cancelled,Customer Service,CS013,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000670,PET000670,CL000146,2025-05-31,227.8,Void,Customer Service,CS006,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH000671,PET000671,CL000099,2025-05-31,19.33,Cancelled,Retentions,RET002,DH002,Death of Pet,Waiting for Information,No,Actioned
DH000672,PET000672,CL000029,2025-05-31,4.47,Cancelled,Retentions,RET029,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000673,PET000673,CL000155,2025-05-31,22.42,Void,Customer Service,CS007,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000674,PET000674,CL000064,2025-05-31,46.41,Cancelled,Customer Service,CS019,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000675,PET000675,CL000180,2025-05-31,89.62,Cancelled,Claims,CLM007,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000676,PET000676,CL000179,2025-05-31,25.75,Cancelled,Retentions,RET028,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000677,PET000677,CL000185,2025-05-31,281.75,Cancelled,Retentions,RET012,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000678,PET000678,CL000043,2025-05-31,30.25,Void,Customer Service,CS024,DH002,Death of Pet,Waiting for Information,No,Actioned
DH000679,PET000679,CL000030,2025-05-31,56.83,Cancelled,Customer Service,CS015,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH000680,PET000680,CL000072,2025-05-31,58.54,Cancelled,Retentions,RET018,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000681,PET000681,CL000046,2025-05-31,11.39,Void,Retentions,RET023,DH001,Cancellation from Renewal (Void),Waiting for Information,No,No Action
DH000682,PET000682,CL000027,2025-05-31,22.34,Void,Customer Service,CS025,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000683,PET000683,CL000108,2025-05-31,0.64,Void,Customer Service,CS003,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000684,PET000684,CL000186,2025-05-31,26.63,Void,Customer Service,CS007,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000685,PET000685,CL000028,2025-05-31,16.95,Void,Retentions,RET015,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000686,PET000686,CL000056,2025-05-31,40.7,Cancelled,Customer Service,CS019,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000687,PET000687,CL000198,2025-05-31,66.61,Cancelled,Claims,CLM006,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000688,PET000688,CL000190,2025-05-31,33.5,Void,Retentions,RET020,DH001,Death of Pet,Agent Forgot,No,Actioned
DH000689,PET000689,CL000096,2025-05-31,18.09,Cancelled,Retentions,RET024,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000690,PET000690,CL000195,2025-05-31,8.02,Cancelled,Customer Service,CS008,DH002,Death of Pet,Payment Date Misunderstood,No,No Action
DH000691,PET000691,CL000176,2025-05-31,61.13,Cancelled,Customer Service,CS006,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000692,PET000692,CL000014,2025-05-31,57.09,Cancelled,Customer Service,CS007,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000693,PET000693,CL000109,2025-05-31,19.97,Void,Customer Service,CS009,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000694,PET000694,CL000130,2025-05-31,71.68,Cancelled,Customer Service,CS025,DH002,Death of Pet,Refund Mailbox Delay,No,Actioned
DH000695,PET000695,CL000142,2025-05-31,62.87,Cancelled,Retentions,RET020,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000696,PET000696,CL000004,2025-05-31,86.52,Cancelled,Retentions,RET013,DH002,Death of Pet,Refund Mailbox Delay,Yes,Actioned
DH000697,PET000697,CL000032,2025-05-31,32.63,Cancelled,Retentions,RET030,DH002,Death of Pet,Agent Forgot,No,Actioned
DH000698,PET000698,CL000109,2025-05-31,62.13,Cancelled,Customer Service,CS022,DH001,Cancellation Before Premium Due,Agent Forgot,Yes,Actioned
DH000699,PET000699,CL000175,2025-05-31,2.85,Cancelled,Customer Service,CS006,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH000700,PET000700,CL000021,2025-05-31,17.56,Cancelled,Retentions,RET010,DH002,Cancellation Before Premium Due,Agent Forgot,No,No Action
DH000701,PET000701,CL000023,2025-05-31,5.94,Void,Claims,CLM005,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Raised
DH000702,PET000702,CL000126,2025-05-31,1.16,Cancelled,Customer Service,CS021,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000703,PET000703,CL000051,2025-05-31,30.11,Cancelled,Retentions,RET007,DH001,Cancellation Before Premium Due,Waiting for Information,Yes,Raised
DH000704,PET000704,CL000105,2025-05-31,46.52,Cancelled,Retentions,RET003,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
