Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Agent Working,Refund Type,Root Cause,Customer Contacted,Outcome
DH000196,PET000196,CL000114,2025-02-28,20.8,Cancelled,Customer Service,CS018,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000197,PET000197,CL000099,2025-02-28,4.43,Cancelled,Customer Service,CS018,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000198,PET000198,CL000078,2025-02-28,15.85,Void,Retentions,RET026,DH001,Death of Pet,Agent Forgot,No,Actioned
DH000199,PET000199,CL000118,2025-02-28,3.39,Void,Retentions,RET020,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,No Action
DH000200,PET000200,CL000167,2025-02-28,127.23,Void,Retentions,RET011,DH001,Cancellation from Renewal (Void),Refund Mailbox Delay,No,Actioned
DH000201,PET000201,CL000126,2025-02-28,256.4,Void,Claims,CLM006,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000202,PET000202,CL000197,2025-02-28,48.12,Void,Customer Service,CS010,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH000203,PET000203,CL000163,2025-02-28,20.11,Cancelled,Retentions,RET015,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000204,PET000204,CL000108,2025-02-28,41.63,Cancelled,Customer Service,CS021,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH000205,PET000205,CL000145,2025-02-28,235.5,Cancelled,Complaints,CMP004,DH001,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000206,PET000206,CL000148,2025-02-28,24.97,Void,Customer Service,CS005,DH002,Cancellation from Renewal (Void),Agent Forgot,Yes,No Action
DH000207,PET000207,CL000022,2025-02-28,9.44,Cancelled,Customer Service,CS007,DH002,Death of Pet,Agent Forgot,No,Actioned
DH000208,PET000208,CL000012,2025-02-28,55.76,Void,Customer Service,CS022,DH001,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH000209,PET000209,CL000085,2025-02-28,48.34,Void,Retentions,RET021,DH002,Death of Pet,Waiting for Information,No,Actioned
DH000210,PET000210,CL000002,2025-02-28,60.3,Cancelled,Claims,CLM002,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000211,PET000211,CL000030,2025-02-28,44.51,Cancelled,Customer Service,CS020,DH002,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000212,PET000212,CL000173,2025-02-28,64.88,Cancelled,Retentions,RET005,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000213,PET000213,CL000108,2025-02-28,33.0,Cancelled,Customer Service,CS021,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000214,PET000214,CL000116,2025-02-28,93.28,Void,Customer Service,CS007,DH002,Cancellation from Renewal (Void),Agent Forgot,No,Actioned
DH000215,PET000215,CL000107,2025-02-28,72.2,Cancelled,Claims,CLM004,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000216,PET000216,CL000198,2025-02-28,77.49,Cancelled,Customer Service,CS012,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,Actioned
DH000217,PET000217,CL000189,2025-02-28,87.57,Void,Customer Service,CS012,DH001,Death of Pet,Agent Forgot,Yes,Actioned
DH000218,PET000218,CL000151,2025-02-28,93.05,Cancelled,Retentions,RET020,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000219,PET000219,CL000137,2025-02-28,31.56,Void,Retentions,RET009,DH001,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH000220,PET000220,CL000168,2025-02-28,8.73,Cancelled,Claims,CLM007,DH002,Death of Pet,Payment Date Misunderstood,No,Actioned
DH000221,PET000221,CL000197,2025-02-28,5.4,Cancelled,Retentions,RET016,DH002,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000222,PET000222,CL000118,2025-02-28,84.87,Void,Claims,CLM007,DH001,Cancellation from Renewal (Void),Waiting for Information,No,Actioned
DH000223,PET000223,CL000073,2025-02-28,33.12,Cancelled,Customer Service,CS011,DH001,Death of Pet,Waiting for Information,Yes,Actioned
DH000224,PET000224,CL000041,2025-02-28,10.04,Void,Retentions,RET023,DH001,Cancellation from Renewal (Void),Payment Date Misunderstood,No,No Action
DH000225,PET000225,CL000024,2025-02-28,62.53,Cancelled,Retentions,RET013,DH002,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000226,PET000226,CL000025,2025-02-28,5.03,Cancelled,Customer Service,CS001,DH001,Cancellation Before Premium Due,Waiting for Information,No,Actioned
DH000227,PET000227,CL000034,2025-02-28,19.17,Void,Retentions,RET012,DH002,Death of Pet,Agent Forgot,Yes,Raised
DH000228,PET000228,CL000037,2025-02-28,5.85,Cancelled,Retentions,RET012,DH001,Cancellation Before Premium Due,Payment Date Misunderstood,No,No Action
DH000229,PET000229,CL000056,2025-02-28,1.45,Void,Customer Service,CS013,DH002,Cancellation from Renewal (Void),Payment Date Misunderstood,No,Actioned
DH000230,PET000230,CL000022,2025-02-28,34.04,Void,Retentions,RET023,DH001,Cancellation from Renewal (Void),Agent Forgot,Yes,Actioned
DH000231,PET000231,CL000131,2025-02-28,25.68,Cancelled,Customer Service,CS008,DH002,Death of Pet,Payment Date Misunderstood,Yes,Actioned
DH000232,PET000232,CL000004,2025-02-28,286.79,Cancelled,Customer Service,CS012,DH001,Cancellation Before Premium Due,Refund Mailbox Delay,No,Actioned
